"Идентиф.";"Обозначение";"Посад.место";"Количество";"Значение";"Поставщик и справка";
1;"U1";"MPN";1;"MP-N";;;
2;"U5";"OLED I2C";1;"OLED";;;
3;"J2";"TestPoint_Pad_1.0x1.0mm";1;"RF_base_gnd";;;
4;"BZ1";"HC0903A";1;"Buzzer";;;
5;"J5";"TestPoint_Pad_1.0x1.0mm";1;"RF_mine";;;
6;"J1";"TestPoint_Pad_1.0x1.0mm";1;"RF_base";;;
7;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
8;"S1";"RotaryEncoder EC11 SMD";1;"EC11";;;
9;"J6";"TestPoint_Pad_1.0x1.0mm";1;"RF_mine_gnd";;;
10;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"12V";;;
11;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"UART_FW";;;
12;"R4,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1 кОм";;;
13;"D1,D3,D2";"D_SMB_Handsoldering";3;"10BQ040";;;
14;"C14,C15,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100 нФ";;;
15;"C16,C1";"C_Disc_D7.5mm_W5.0mm_P10.00mm";2;"2,2 нФ";;;
16;"C5,C11,C4,C2,C13,C6,C3";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";7;"47 мкФ";;;
17;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0 Ом";;;
18;"C9,C8,C10,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"330 пФ";;;
19;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10 кОм";;;
20;"U3";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
21;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
22;"U4";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"HMC542BLP4ETR";;;
23;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100 Ом";;;
24;"L1,L2";"L_Axial_L24.0mm_D7.1mm_P30.48mm_Horizontal_Vishay_IM-10-28";2;"4 мГн мин.";;;
25;"IC1";"SOP65P640X110-24N";1;"74LVC4245APW,112";;;
26;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"NU";;;
